No.,SMILE,Alias,MW,R2,R3,R4,ALogP_86,PAMPA %R,PAMPA Papp  (x10-6cm/s),PAMPA Papp SD (x10-6cm/s),logDdec/w,logDoct/w
171,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-11,757.96292,LA16,Ala,LA19,0.736,,,,,
181,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-21,800.04266,LA16,Leu,LA19,1.968,103.5199228,0.091462565,0.033226861,-1.070601916,2.363572572
191,N51[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub05-31,834.05888,LA16,Phe,LA19,2.292,102.3497107,0.23355732,0.053709995,-0.690372776,2.570154967
199,N61[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub05-39,884.11756,LA16,Nal,LA19,3.2,58.37864186,0.889285829,0.160208306,0.370720152,2.954522218
211,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-11,769.37288,LA20,Ala,LA19,3.157,74.66283023,2.749440452,0.110886475,0.743556604,3.279867732
221,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-21,811.45262,LA20,Leu,LA19,4.389,17.00365317,3.024800754,0.363118902,1.874325296,2.622243152
231,N51[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub06-31,845.46884,LA20,Phe,LA19,4.713,16.73133674,0.779104758,0.169505614,2.248051123,3.533001375
239,N61[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub06-39,895.52752,LA20,Nal,LA19,5.622,40.89444044,0.010176387,0.004530298,2.72401588,2.217262668
251,N41[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub07-11,777.00756,LA23,Ala,LA19,3.727,44.35018319,2.376082858,0.471709023,1.051902026,3.053254756
261,N41[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub07-21,819.0873,LA23,Leu,LA19,4.958,8.868434022,1.490002002,0.094583033,2.354950727,3.094183154
271,N51[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub07-31,853.10352,LA23,Phe,LA19,5.283,9.827504651,0.475428806,0.095757665,2.619121476,3.241491355
279,N61[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub07-39,903.1622,LA23,Nal,LA19,6.191,26.2679734,0.009915115,0.017173484,3.136831798,1.621492455
291,N51[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](C)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub08-11,778.93732,LA24,Ala,LA19,2.261,75.43223071,0.589044046,0.100656719,-0.195554939,2.793302922
301,N51[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub08-21,821.01706,LA24,Leu,LA19,3.493,34.79631974,3.635535395,0.228287549,1.18930241,3.185580554
311,N61[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](Cc4ccccc4)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub08-31,855.03328,LA24,Phe,LA19,3.817,20.94685254,1.879472654,0.200529002,1.646903988,3.13179654
319,N71[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](Cc4ccc5ccccc5c4)C(=O)N(CCCc6cn(C)nc6)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C7=O,Sub08-39,905.09196,LA24,Nal,LA19,4.725,28.8900846,0.024876725,0.011843526,2.405141875,
331,N41[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub09-11,781.98432,LA27,Ala,LA19,2.683,76.24806721,1.626535207,0.195926164,0.542168074,3.044023998
341,N41[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub09-21,824.06406,LA27,Leu,LA19,3.914,18.80292325,4.650069922,0.709601098,1.882997586,3.005582091
351,N51[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub09-31,858.08028,LA27,Phe,LA19,4.238,9.4146994,2.299405816,0.215315128,2.218440194,3.18551381
359,N61[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub09-39,908.13896,LA27,Nal,LA19,5.147,13.65215195,0.141584153,0.090242938,2.818232038,
371,N41[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub10-11,815.01578,LA33,Ala,LA19,2.726,94.64596746,0.218690851,0.030650744,-0.650493031,2.871242918
381,N41[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub10-21,857.09552,LA33,Leu,LA19,3.958,68.39922957,1.822260674,0.180003932,0.785692666,3.299152791
391,N51[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub10-31,891.11174,LA33,Phe,LA19,4.282,39.97979658,2.109512045,0.19769546,1.208621648,1.118988771
399,N61[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub10-39,941.17042,LA33,Nal,LA19,5.191,18.6527133,0.261863502,0.057106044,2.021649345,
12,N31[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub01-12,675.85908,LA01,Ala,LA21,-0.036,,,,,1.23314556
23,N31[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub01-23,717.93882,LA01,Leu,LA21,1.195,90.26064068,0.095586486,0.018539167,-1.45586506,2.325122351
32,N41[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub01-32,751.95504,LA01,Phe,LA21,1.519,,,,,2.453247914
40,N51[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub01-40,802.01372,LA01,Nal,LA21,2.428,67.59805481,1.408128494,0.281273567,0.12835699,2.940813239
52,N31[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub02-12,689.88566,LA02,Ala,LA21,0.487,,,,,1.69139228
63,N31[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub02-23,731.9654,LA02,Leu,LA21,1.719,88.78918913,0.290071037,0.051562263,-0.719727632,1.733985384
72,N41[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub02-32,765.98162,LA02,Phe,LA21,2.043,95.93791215,0.581649697,0.073812031,-0.265856937,3.01424546
80,N51[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub02-40,816.0403,LA02,Nal,LA21,2.952,49.3529,1.756145414,0.094888556,0.869849575,
92,N31[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub03-12,703.91224,LA03,Ala,LA21,0.807,,,,,1.971859822
103,N31[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub03-23,745.99198,LA03,Leu,LA21,2.038,84.93624611,0.532462542,0.121994257,-0.027687535,2.570785409
112,N41[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub03-32,780.0082,LA03,Phe,LA21,2.362,84.25923292,0.93076843,0.205116855,0.367231607,2.67705427
120,N51[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub03-40,830.06688,LA03,Nal,LA21,3.271,32.24787834,2.052451758,0.402562964,1.392688546,2.814289628
132,N31[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub04-12,747.9648,LA13,Ala,LA21,0.273,,,,,2.036263347
143,N31[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN2CCCC2=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub04-23,790.04454,LA13,Leu,LA21,1.504,87.23718985,0.342497598,0.046873917,-0.284174799,1.893527476
152,N41[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub04-32,824.06076,LA13,Phe,LA21,1.828,85.64298996,0.58975792,0.063473617,0.029355467,2.967633639
160,N51[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub04-40,874.11944,LA13,Nal,LA21,2.737,39.79842855,1.501214419,0.115645243,0.997122584,3.240615604
172,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-12,760.96356,LA16,Ala,LA21,-0.559,,,,,
183,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-23,803.0433,LA16,Leu,LA21,0.673,,,,,1.797834786
192,N51[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub05-32,837.05952,LA16,Phe,LA21,0.997,107.6114938,0.044781595,0.010746042,-1.974496485,2.075496031
200,N61[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCN5CCCC5=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub05-40,887.1182,LA16,Nal,LA21,1.905,97.73563809,0.341797971,0.083392803,-0.839467731,2.799614807
212,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-12,772.37352,LA20,Ala,LA21,1.863,,,,,2.983084956
223,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-23,814.45326,LA20,Leu,LA21,3.094,,,,,3.28387287
232,N51[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub06-32,848.46948,LA20,Phe,LA21,3.419,,,,,3.379059893
240,N61[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCN5CCCC5=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub06-40,898.52816,LA20,Nal,LA21,4.327,,,,,2.048102364
252,N41[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub07-12,780.0082,LA23,Ala,LA21,2.432,88.05567293,0.598757391,0.183519399,-0.051727973,2.975599387
263,N41[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub07-23,822.08794,LA23,Leu,LA21,3.664,25.68300801,1.272331748,0.224654462,1.415677488,3.021103344
272,N51[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub07-32,856.10416,LA23,Phe,LA21,3.988,14.90608179,0.751431852,0.075433931,1.71294333,2.966623783
280,N61[C@H](CCC1)C(=O)N(CCCCc2ccccc2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCN5CCCC5=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub07-40,906.16284,LA23,Nal,LA21,4.896,10.39217957,0.05245901,0.045124631,2.537653467,1.383493883
292,N51[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](C)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub08-12,781.93796,LA24,Ala,LA21,0.966,93.55016529,0.090655448,0.018525255,-1.347890423,2.405593319
303,N51[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub08-23,824.0177,LA24,Leu,LA21,2.198,71.01280896,1.025311141,0.172917358,0.14028536,3.083095422
312,N61[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](Cc4ccccc4)C(=O)N(CCCN5CCCC5=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub08-32,858.03392,LA24,Phe,LA21,2.522,48.1071366,1.389097831,0.204337857,0.549643737,3.138030281
320,N71[C@H](CCC1)C(=O)N(Cc2ccc3OCOc3c2)CC(=O)N[C@@H](Cc4ccc5ccccc5c4)C(=O)N(CCCN6CCCC6=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C7=O,Sub08-40,908.0926,LA24,Nal,LA21,3.431,17.12732772,0.315726618,0.054875255,1.651311459,
332,N41[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub09-12,784.98496,LA27,Ala,LA21,1.388,102.4121441,0.258288425,0.039822061,-0.561148439,2.773614148
343,N41[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub09-23,827.0647,LA27,Leu,LA21,2.62,60.71840647,1.963532063,0.373936923,0.921533878,3.040055139
352,N51[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub09-32,861.08092,LA27,Phe,LA21,2.944,36.76295801,1.933786009,0.364517135,1.219028573,3.073021506
360,N61[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCN5CCCC5=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub09-40,911.1396,LA27,Nal,LA21,3.852,8.200691206,0.434409102,0.120631342,2.153048386,
372,N41[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub10-12,818.01642,LA33,Ala,LA21,1.432,104.2953026,0.035202953,0.003703127,-1.738655105,2.310064562
383,N41[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCN3CCCC3=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub10-23,860.09616,LA33,Leu,LA21,2.663,98.94140417,0.50086139,0.080113073,-0.326994073,3.150941011
392,N51[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCN4CCCC4=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub10-32,894.11238,LA33,Phe,LA21,2.988,84.99768841,0.976113491,0.106544392,0.035523778,0.941157937
400,N61[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCN5CCCC5=O)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub10-40,944.17106,LA33,Nal,LA21,3.896,28.02362251,0.867179578,0.097335813,1.111196412,1.714365315